Make,Model,G.C Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Glow-worm,Ultracom 30cx,4701907,33.4665,30.15,27.1 - 31.7,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom 30cxi,4701911,33.4665,30.15,27.1 - 31.7,between 8.5 and 9.6 (for setting gas valve refer to m.i's),between 8.5 and 9.6 (for setting gas valve refer to m.i's),0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Glow-worm,Ultracom2 18sxi,4101913,20.535,18.5,16.7 - 19.4,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom2 30cxi,4701911,33.966,30.6,27.5 - 32.1,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Glow-worm,Ultracom2 24cxi,4701910,28.305,25.5,23.0 - 26.8,9.2(+0.3/-0.3),9.2(+0.3/-0.3),0.004,N/A,N/A,N/A,Yes
Ideal,Classic FF 230,4138701,11,9.90990991,8.9 - 10.4,N/A,N/A,N/A,N/A,13.2,3.5,Yes
Ideal,CLASSIC FF 240,4138702,14.7,13.24324324,11.9 - 13.9,N/A,N/A,N/A,N/A,14.5,8.5,Yes
Ideal,Classic NF 30,4142930,11,9.90990991,8.9 - 10.4,N/A,N/A,N/A,N/A,13.9,4,Yes
Ideal,Classic NF 40,4142931,14.7,13.24324324,11.9 - 13.9,N/A,N/A,N/A,N/A,12.7,7.5,Yes
Ideal,Classic FF 330,4139154,10.8,9.72972973,8.8 - 10.2,N/A,N/A,N/A,N/A,12.4,N/A,Yes
Ideal,Logic Code Combi ESP1 26,4734904,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,350,N/A,N/A,Yes
Ideal,Exclusive 24,4734941,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Icos HE 12,4139795,13.542,12.2,11.0 - 12.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 15,4139783,16.761,15.1,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos HE 24,4139785,27.084,24.4,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Icos M3080,4139149,27.084,24.4,22.0 - 25.6,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 24,4734831,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 30,4734830,33.522,30.2,27.2 - 31.7,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Isar HE 35,4734829,39.96,36,32.4 - 37.8,N/A,N/A,0.004,N/A,N/A,N/A,If Combustion Readings Are Unsatisfactory
Ideal,Logic Code Combi 26,4734874,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Code Combi ES26,4734904,26.973,24.3,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 24,4734856,26.973,24.3,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 30,4734857,33.744,30.4,27.4 - 31.9,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi 35,4734858,39.294,35.4,31.9 - 37.2,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi C 24,4734918,26.973,24.3,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 30,4734919,33.744,30.4,27.4 - 31.9,9.3(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi C 35,4734920,39.294,35.4,31.9 - 37.2,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES24,4734901,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES30,4734902,33.744,30.4,27.4 - 31.9,,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ES35,4734903,39.294,35.4,31.9 - 37.2,,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP24,4734912,26.973,24.3,21.9 - 25.5,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP30,4734913,33.744,30.4,27.4 - 31.9,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP35,4734914,39.294,35.4,31.9 - 37.2,,N/A,0.004,350,N/A,N/A,Yes
Ideal,Logic Combi ESP1 24,4734921,26.973,24.3,21.9 - 25.5,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP1 30,4734922,33.744,30.4,27.4 - 31.9,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Combi ESP1 35,4734923,39.294,35.4,31.9 - 37.2,9.5(+/-0.7),8.8(+/-0.7),0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 12,4139999,13.431,12.1,10.9 - 12.7,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 15,4140993,16.761,15.1,13.6 - 15.9,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 18,4140994,20.091,18.1,16.3 - 19.0,N/A,N/A,0.004,N/A,N/A,N/A,Yes
Ideal,Logic Heat 24,4140995,26.973,24.3,21.9 - 25.5,N/A,N/A,0.004,N/A,N/A,N/A,Yes
