Make,Model,GC Number,kW Gross,kW Net,Net kW (+5%/-10%),Max CO2%,Min CO2%,Max Ratio,Max Co (PPM),Max (Burner Pressure Mb),Min (Burner Pressure Mb),Strip Service Required
Potterton,Gold H 24,4159214,24.5,22.07207207,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax SL18 Heat ErP,4159236,20.18,18.18018018,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax SL24 Heat ErP,4159237,24.5,22.07207207,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Promax 12 System ErP,4159242,15.318,13.8,12.4 - 14.5,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 18 System ErP,4159244,22.755,20.5,18.5 - 21.5,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 24 System ErP,4159245,30.414,27.4,24.7 - 28.8,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 32 System ErP,4159246,40.404,36.4,32.8 - 38.2,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Gold 15 Heat Erp,4159251,16.88,15.20720721,13.7 - 16.0,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Gold 18 Heat Erp,4159252,20.18,18.18018018,16.4 - 19.1,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Gold 24 Heat Erp,4159253,24.5,22.07207207,19.9 - 23.2,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 12,4159412,13.764,12.4,11.2 - 13.0,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 15,4159254,17.1606,15.46,13.9 - 16.2,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 18,4159255,20.6016,18.56,16.7 - 19.5,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Assure System 24,4159413,27.417,24.7,22.2 - 25.9,9.0(+0.3/-0.2),8.5(+0.1/-0.4),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 12 Heat,4159256,14.88,13.40540541,12.1 - 14.1,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 15 Heat,4159257,18.32,16.5045045,14.9 - 17.3,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 18 Heat,4159258,21.75,19.59459459,17.6 - 20.6,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 21 Heat,4159259,24.04,21.65765766,19.5 - 22.7,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 24 Heat,4159260,28.62,25.78378378,23.2 - 27.1,9.3(+/-0.1),8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 12 Heat,4159261,14.88,13.40540541,12.1 - 14.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 15 Heat,4159262,18.32,16.5045045,14.9 - 17.3,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 18 Heat,4159263,21.75,19.59459459,17.6 - 20.6,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 24 Heat,4159264,28.62,25.78378378,23.2 - 27.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Titanium 30 Heat,4159265,34.35,30.94594595,27.9 - 32.5,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 13 Heat,4159266,14.88,13.40540541,12.1 - 14.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 25 Heat,4159269,28.62,25.78378378,23.2 - 27.1,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Assure 30 Heat,4159270,34.35,30.94594595,27.9 - 32.5,9.3(+/-0.1) MUST be a difference of 0.4% between max and min co2 readings,8.9(+/-0.1),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 12 System,4159271,13.3,11.98198198,10.8 - 12.6,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 15 System,4159272,16.7,15.04504505,13.5 - 15.8,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 18 System,4159273,20,18.01801802,16.2 - 18.9,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 24 System,4159274,26.6,23.96396396,21.6 - 25.2,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Ultra 28 System,4159275,31.1,28.01801802,25.2 - 29.4,9.0 (+/-0.7),9.0 (+/-0.7),0.004,N/A,N/A,N/A,Yes
Potterton,Promax System 24 HE Plus,4160121,27.417,24.7,22.2 - 25.9,8.7 (+/-0.2),8.4 (+/-0.2),0.004,N/A,N/A,N/A,Yes
Potterton,Promax 30 HE Plus,4160122,33.76,30.41441441,27.4 - 31.9,9.0 (+/-1.0),N/A,0.004,N/A,N/A,N/A,Yes
Potterton,Netaheat Profile 30e,4160539,12.432,11.2,10.1 - 11.8,N/A,N/A,N/A,N/A,10.4,5.9,Yes
Potterton,Netaheat Profile 40e,4160540,16.5723,14.93,13.4 - 15.7,N/A,N/A,N/A,N/A,13.4,8.4,Yes
Potterton,Netaheat Profile 50e,4160541,20.8236,18.76,16.9 - 19.7,N/A,N/A,N/A,N/A,12.8,8.7,Yes
Potterton,Netaheat Profile 60e,4160542,25.0527,22.57,20.3 - 23.7,N/A,N/A,N/A,N/A,14,10.3,Yes
Potterton,Netaheat Profile 80e,4160543,33.5775,30.25,27.2 - 31.8,N/A,N/A,N/A,N/A,14,8.5,Yes
Potterton,Profile Prima 30e,4160570,12.1989,10.99,9.9 - 11.5,N/A,N/A,N/A,N/A,8.6,3.9,Yes
Potterton,Profile Prima 40e,4160571,16.2615,14.65,13.2 - 15.4,N/A,N/A,N/A,N/A,11.6,6.9,Yes
Potterton,Profile Prima 50e,4160572,20.3352,18.32,16.5 - 19.2,N/A,N/A,N/A,N/A,11.6,8,Yes
Potterton,Profile Prima 60e,4160573,24.3978,21.98,19.8 - 23.1,N/A,N/A,N/A,N/A,15,11,Yes
Potterton,Profile Prima 80e,4160574,32.5341,29.31,26.4 - 30.8,N/A,N/A,N/A,N/A,11.8,7.2,Yes
